OBJECTID_1,Vote
832,2.167420814
833,2.784269663
834,1.940944882
835,0.2455947137
836,0.6303724928
837,0.4674329502
838,2.387096774
839,2.49009901
840,0.3422103862
841,0.4460043197
842,0.2805836139
843,0.3192771084
844,0.5928237129
845,2.7
846,2.081128748
847,1.560810811
848,2.212121212
849,0.4872611465
850,2.290322581
851,0.5763888889
852,2.560885609
853,1.130769231
854,4.741935484
855,3.731927711
856,2.357723577
857,1.594182825
858,1.685419059
859,1.279513889
860,1.408602151
861,1.259938838
862,1.360576923
863,1.840875912
864,1.604452055
865,1.46615087
866,2.658371041
867,1.567264574
868,2.085308057
869,1.376847291
870,1.135453475
871,2.045454545
872,1.733242134
873,1.442538593
874,2.209302326
875,2.87283237
876,2.563909774
877,2.714570858
878,2.821052632
879,3.697560976
880,2.175438596
